Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
155,NA,Grinnell,19-11,0.6333333333333333,949.42,,,?,967.33,-17.91
156,NA,Rhode Island,7-10,0.4117647058823529,934.93,New England,Greater New England DI,D-I,980.04,-45.11
157,NA,Liberty,10-16,0.38461538461538464,929.3,Atlantic Coast,Virginia DI,D-I,1033.49,-104.19
158,NA,South Florida,5-17,0.22727272727272727,917.32,Southeast,Florida DI,D-I,1120.3,-202.98
159,NA,Boise State,4-4,0.5,914.58,Northwest,Big Sky DI,D-I,801.84,112.74
160,NA,Carthage,10-6,0.625,913.35,,,?,831.27,82.08
161,NA,Mississippi State,11-14,0.44,903.76,Southeast,Gulf Coast DI,D-I,977.13,-73.37
162,NA,Massachusetts-Lowell,11-9,0.55,901.86,New England,Metro Boston DI,D-I,760.21,141.65
163,NA,Michigan Tech,9-7,0.5625,899.82,North Central,Lake Superior DIII,D-III,846.25,53.57
164,NA,Truman State,11-13,0.4583333333333333,898.32,South Central,Ozarks DIII,D-III,1054.93,-156.61
165,NA,MIT,6-11,0.35294117647058826,898.08,New England,Metro Boston DI,D-I,1081.51,-183.43
166,NA,Northern Arizona,3-7,0.3,897.05,Southwest,Desert DI,D-I,1092.23,-195.18
167,NA,Loyola Marymount,6-7,0.46153846153846156,896.64,,,?,952.49,-55.85
168,NA,Kennesaw State,7-12,0.3684210526315789,890.93,Southeast,Southern Appalachian DI,D-I,924.76,-33.83
169,NA,Kansas,14-15,0.4827586206896552,889.88,South Central,Ozarks DI,D-I,842.15,47.73
170,NA,Ohio,8-7,0.5333333333333333,879.22,Ohio Valley,Ohio DI,D-I,859.99,19.23
171,NA,Georgia-B,4-1,0.8,876.43,Southeast,Southeast Dev,Dev,589.38,287.05
172,NA,Wisconsin-Whitewater,6-15,0.2857142857142857,876.37,North Central,Lake Superior DI,D-I,986.61,-110.24
173,NA,Colorado School of Mines,6-9,0.4,856.94,South Central,Rocky Mountain DIII,D-III,859.75,-2.82
174,NA,Rochester,15-9,0.625,849.91,Metro East,Western NY DIII,D-III,793.31,56.6
175,NA,SUNY Cortland,24-9,0.7272727272727273,849.35,,,?,679.14,170.21
176,NA,"California State University, Chico",7-11,0.3888888888888889,844.82,,,?,981.45,-136.64
177,NA,Washington State,8-9,0.47058823529411764,842.1,Northwest,Big Sky DI,D-I,701.61,140.49
178,NA,Montana State,4-11,0.26666666666666666,838.48,Northwest,Big Sky DI,D-I,1074.27,-235.8
179,NA,West Virginia,11-18,0.3793103448275862,828.6,,,?,957.89,-129.29
180,NA,Connecticut College,14-10,0.5833333333333334,828.33,,,?,766.52,61.81
181,NA,Davidson,8-10,0.4444444444444444,826.39,Atlantic Coast,Carolina DIII,D-III,912.44,-86.05
182,NA,Kalamazoo,5-5,0.5,818.37,,,?,700.37,118
